Freq.	I(C1)/V(i)	I(C2)/V(i)
3.80000000000000e+008	1.00000001000000e-003,2.62637101072052e-002	9.99999999900100e-002,-2.38761041607065e-003
3.90000000000000e+008	1.00000001000000e-003,2.69548636941550e-002	9.99999999900100e-002,-2.45044226914691e-003
4.00000000000000e+008	1.00000001000000e-003,2.76460140452892e-002	9.99999999900100e-002,-2.51327412222262e-003
4.10000000000000e+008	1.00000001000000e-003,2.83371643964234e-002	9.99999999900100e-002,-2.57610597529784e-003
4.20000000000000e+008	1.00000001000000e-003,2.90283111711299e-002	9.99999999900100e-002,-2.63893782837259e-003
4.30000000000000e+008	1.00000001000000e-003,2.97194687602724e-002	9.99999999900100e-002,-2.70176968144692e-003
4.40000000000000e+008	1.00000001000000e-003,3.04106154498257e-002	9.99999999900100e-002,-2.76460153452084e-003
4.50000000000000e+008	1.00000001000000e-003,3.11017658009598e-002	9.99999999900100e-002,-2.82743338759439e-003
4.60000000000000e+008	1.00000001000000e-003,3.17929122350539e-002	9.99999999900100e-002,-2.89026524066759e-003
4.70000000000000e+008	1.00000001000000e-003,3.24840665032277e-002	9.99999999900100e-002,-2.95309709374047e-003
4.80000000000000e+008	1.00000001000000e-003,3.31752209417076e-002	9.99999999900100e-002,-3.01592894681303e-003
4.90000000000000e+008	1.00000001000000e-003,3.38663630329966e-002	9.99999999900100e-002,-3.07876079988531e-003
5.00000000000000e+008	1.00000001000000e-003,3.45575175566294e-002	9.99999999900100e-002,-3.14159265295732e-003
5.10000000000000e+008	1.00000001000000e-003,3.52486679077633e-002	9.99999999900100e-002,-3.20442450602908e-003
5.20000000000000e+008	1.00000001000000e-003,3.59398226868552e-002	9.99999999900100e-002,-3.26725635910059e-003
5.30000000000000e+008	1.00000001000000e-003,3.66309640969198e-002	9.99999999900100e-002,-3.33008821217188e-003
5.40000000000000e+008	1.00000001000000e-003,3.73221189611647e-002	9.99999999900100e-002,-3.39292006524295e-003
5.50000000000000e+008	1.00000001000000e-003,3.80132739957156e-002	9.99999999900100e-002,-3.45575191831382e-003
5.60000000000000e+008	1.00000001000000e-003,3.87044244320024e-002	9.99999999900100e-002,-3.51858377138450e-003
5.70000000000000e+008	1.00000001000000e-003,3.93955651608426e-002	9.99999999900100e-002,-3.58141562445500e-003
5.80000000000000e+008	1.00000001000000e-003,4.00867253045759e-002	9.99999999900100e-002,-3.64424747752533e-003
5.90000000000000e+008	1.00000001000000e-003,4.07778656928040e-002	9.99999999900100e-002,-3.70707933059549e-003
6.00000000000000e+008	1.00000001000000e-003,4.14690210679670e-002	9.99999999900100e-002,-3.76991118366550e-003
6.10000000000000e+008	1.00000001000000e-003,4.21601766134361e-002	9.99999999900100e-002,-3.83274303673536e-003
6.20000000000000e+008	1.00000001000000e-003,4.28513217702343e-002	9.99999999900100e-002,-3.89557488980509e-003
6.30000000000000e+008	1.00000001000000e-003,4.35424721213679e-002	9.99999999900100e-002,-3.95840674287467e-003
6.40000000000000e+008	1.00000001000000e-003,4.42336279222961e-002	9.99999999900100e-002,-4.02123859594413e-003
6.50000000000000e+008	1.00000001000000e-003,4.49247728236351e-002	9.99999999900100e-002,-4.08407044901347e-003
6.60000000000000e+008	1.00000001000000e-003,4.56159231747687e-002	9.99999999900100e-002,-4.14690230208269e-003
6.70000000000000e+008	1.00000001000000e-003,4.63070678206487e-002	9.99999999900100e-002,-4.20973415515181e-003
6.80000000000000e+008	1.00000001000000e-003,4.69982238770359e-002	9.99999999900100e-002,-4.27256600822081e-003
6.90000000000000e+008	1.00000001000000e-003,4.76893801037292e-002	9.99999999900100e-002,-4.33539786128972e-003
7.00000000000000e+008	1.00000001000000e-003,4.83805245793030e-002	9.99999999900100e-002,-4.39822971435852e-003
7.10000000000000e+008	1.00000001000000e-003,4.90716749304366e-002	9.99999999900100e-002,-4.46106156742724e-003
7.20000000000000e+008	1.00000001000000e-003,4.97628314125890e-002	9.99999999900100e-002,-4.52389342049586e-003
7.30000000000000e+008	1.00000001000000e-003,5.04539694165317e-002	9.99999999900100e-002,-4.58672527356441e-003
7.40000000000000e+008	1.00000001000000e-003,5.11451322851621e-002	9.99999999900100e-002,-4.64955712663286e-003
7.50000000000000e+008	1.00000001000000e-003,5.18362827214486e-002	9.99999999900100e-002,-4.71238897970124e-003
7.60000000000000e+008	1.00000001000000e-003,5.25274202144732e-002	9.99999999900100e-002,-4.77522083276955e-003
7.70000000000000e+008	1.00000001000000e-003,5.32185835940217e-002	9.99999999900100e-002,-4.83805268583778e-003
7.80000000000000e+008	1.00000001000000e-003,5.39097273883712e-002	9.99999999900100e-002,-4.90088453890594e-003
7.90000000000000e+008	1.00000001000000e-003,5.46008844665948e-002	9.99999999900100e-002,-4.96371639197404e-003
8.00000000000000e+008	1.00000001000000e-003,5.52920280906381e-002	9.99999999900100e-002,-5.02654824504207e-003
8.10000000000000e+008	1.00000001000000e-003,5.59831715443754e-002	9.99999999900100e-002,-5.08938009811004e-003
8.20000000000000e+008	1.00000001000000e-003,5.66743287929050e-002	9.99999999900100e-002,-5.15221195117795e-003
8.30000000000000e+008	1.00000001000000e-003,5.73654791440385e-002	9.99999999900100e-002,-5.21504380424580e-003
8.40000000000000e+008	1.00000001000000e-003,5.80566223423166e-002	9.99999999900100e-002,-5.27787565731360e-003
8.50000000000000e+008	1.00000001000000e-003,5.87477798463054e-002	9.99999999900100e-002,-5.34070751038134e-003
8.60000000000000e+008	1.00000001000000e-003,5.94389375206003e-002	9.99999999900100e-002,-5.40353936344903e-003
8.70000000000000e+008	1.00000001000000e-003,6.01300731402578e-002	9.99999999900100e-002,-5.46637121651667e-003
