Freq.	I(C1)/V(o)
1.62181009735892e+008	(-5.98364121873111e+001dB,-8.99999943773340e+001°)
1.65958690743755e+008	(-5.96364121873111e+001dB,-8.99999945053215e+001°)
1.69824365246174e+008	(-5.94364121873111e+001dB,-8.99999946303957e+001°)
1.73780082874937e+008	(-5.92364121873111e+001dB,-8.99999947526228e+001°)
1.77827941003892e+008	(-5.90364121873111e+001dB,-8.99999948720677e+001°)
1.81970085860998e+008	(-5.88364121873111e+001dB,-8.99999949887937e+001°)
1.86208713666286e+008	(-5.86364121873111e+001dB,-8.99999951028626e+001°)
1.90546071796324e+008	(-5.84364121873111e+001dB,-8.99999952143351e+001°)
1.94984459975804e+008	(-5.82364121873111e+001dB,-8.99999953232701e+001°)
1.99526231496887e+008	(-5.80364121873111e+001dB,-8.99999954297255e+001°)
2.04173794466952e+008	(-5.78364121873111e+001dB,-8.99999955337576e+001°)
2.08929613085403e+008	(-5.76364121873111e+001dB,-8.99999956354217e+001°)
2.13796208950222e+008	(-5.74364121873111e+001dB,-8.99999957347717e+001°)
2.18776162394954e+008	(-5.72364121873111e+001dB,-8.99999958318601e+001°)
2.23872113856833e+008	(-5.70364121873111e+001dB,-8.99999959267386e+001°)
2.29086765276776e+008	(-5.68364121873111e+001dB,-8.99999960194573e+001°)
2.34422881531991e+008	(-5.66364121873111e+001dB,-8.99999961100655e+001°)
2.39883291901948e+008	(-5.64364121873111e+001dB,-8.99999961986112e+001°)
2.45470891568502e+008	(-5.62364121873111e+001dB,-8.99999962851414e+001°)
2.51188643150957e+008	(-5.60364121873111e+001dB,-8.99999963697019e+001°)
2.57039578276885e+008	(-5.58364121873111e+001dB,-8.99999964523376e+001°)
2.63026799189537e+008	(-5.56364121873111e+001dB,-8.99999965330922e+001°)
2.69153480392690e+008	(-5.54364121873111e+001dB,-8.99999966120087e+001°)
2.75422870333815e+008	(-5.52364121873111e+001dB,-8.99999966891288e+001°)
2.81838293126444e+008	(-5.50364121873111e+001dB,-8.99999967644934e+001°)
2.88403150312659e+008	(-5.48364121873111e+001dB,-8.99999968381426e+001°)
2.95120922666637e+008	(-5.46364121873111e+001dB,-8.99999969101152e+001°)
3.01995172040200e+008	(-5.44364121873111e+001dB,-8.99999969804496e+001°)
3.09029543251358e+008	(-5.42364121873111e+001dB,-8.99999970491829e+001°)
3.16227766016836e+008	(-5.40364121873111e+001dB,-8.99999971163517e+001°)
3.23593656929627e+008	(-5.38364121873111e+001dB,-8.99999971819916e+001°)
3.31131121482589e+008	(-5.36364121873111e+001dB,-8.99999972461373e+001°)
3.38844156139201e+008	(-5.34364121873111e+001dB,-8.99999973088229e+001°)
3.46736850452530e+008	(-5.32364121873111e+001dB,-8.99999973700815e+001°)
3.54813389233574e+008	(-5.30364121873111e+001dB,-8.99999974299458e+001°)
3.63078054770099e+008	(-5.28364121873111e+001dB,-8.99999974884474e+001°)
3.71535229097171e+008	(-5.26364121873111e+001dB,-8.99999975456173e+001°)
3.80189396320559e+008	(-5.24364121873111e+001dB,-8.99999976014858e+001°)
3.89045144994279e+008	(-5.22364121873111e+001dB,-8.99999976560827e+001°)
3.98107170553495e+008	(-5.20364121873111e+001dB,-8.99999977094368e+001°)
4.07380277804111e+008	(-5.18364121873111e+001dB,-8.99999977615764e+001°)
4.16869383470333e+008	(-5.16364121873111e+001dB,-8.99999978125291e+001°)
4.26579518801590e+008	(-5.14364121873111e+001dB,-8.99999978623220e+001°)
4.36515832240164e+008	(-5.12364121873111e+001dB,-8.99999979109815e+001°)
4.46683592150961e+008	(-5.10364121873111e+001dB,-8.99999979585334e+001°)
4.57088189614873e+008	(-5.08364121873111e+001dB,-8.99999980050028e+001°)
4.67735141287196e+008	(-5.06364121873111e+001dB,-8.99999980504145e+001°)
4.78630092322636e+008	(-5.04364121873111e+001dB,-8.99999980947925e+001°)
4.89778819368443e+008	(-5.02364121873111e+001dB,-8.99999981381603e+001°)
5.01187233627270e+008	(-5.00364121873111e+001dB,-8.99999981805410e+001°)
5.12861383991362e+008	(-4.98364121873111e+001dB,-8.99999982219569e+001°)
5.24807460249770e+008	(-4.96364121873111e+001dB,-8.99999982624301e+001°)
5.37031796370250e+008	(-4.94364121873111e+001dB,-8.99999983019820e+001°)
5.49540873857621e+008	(-4.92364121873111e+001dB,-8.99999983406336e+001°)
5.62341325190346e+008	(-4.90364121873111e+001dB,-8.99999983784054e+001°)
5.75439937337154e+008	(-4.88364121873111e+001dB,-8.99999984153174e+001°)
5.88843655355585e+008	(-4.86364121873111e+001dB,-8.99999984513892e+001°)
6.02559586074354e+008	(-4.84364121873111e+001dB,-8.99999984866399e+001°)
6.16595001861478e+008	(-4.82364121873111e+001dB,-8.99999985210882e+001°)
6.30957344480189e+008	(-4.80364121873111e+001dB,-8.99999985547523e+001°)
6.45654229034652e+008	(-4.78364121873111e+001dB,-8.99999985876502e+001°)
6.60693448007592e+008	(-4.76364121873111e+001dB,-8.99999986197992e+001°)
6.76082975391978e+008	(-4.74364121873111e+001dB,-8.99999986512164e+001°)
6.91830970918932e+008	(-4.72364121873111e+001dB,-8.99999986819184e+001°)
7.07945784384134e+008	(-4.70364121873111e+001dB,-8.99999987119216e+001°)
7.24435960074986e+008	(-4.68364121873111e+001dB,-8.99999987412419e+001°)
7.41310241300913e+008	(-4.66364121873111e+001dB,-8.99999987698947e+001°)
7.58577575029179e+008	(-4.64364121873111e+001dB,-8.99999987978953e+001°)
7.76247116628687e+008	(-4.62364121873111e+001dB,-8.99999988252586e+001°)
7.94328234724277e+008	(-4.60364121873111e+001dB,-8.99999988519990e+001°)
8.12830516164094e+008	(-4.58364121873111e+001dB,-8.99999988781306e+001°)
8.31763771102666e+008	(-4.56364121873111e+001dB,-8.99999989036675e+001°)
8.51138038202371e+008	(-4.54364121873111e+001dB,-8.99999989286231e+001°)
8.70963589956075e+008	(-4.52364121873111e+001dB,-8.99999989530106e+001°)
8.91250938133740e+008	(-4.50364121873111e+001dB,-8.99999989768430e+001°)
9.12010839355904e+008	(-4.48364121873111e+001dB,-8.99999990001329e+001°)
9.33254300796985e+008	(-4.46364121873111e+001dB,-8.99999990228926e+001°)
9.54992586021430e+008	(-4.44364121873111e+001dB,-8.99999990451343e+001°)
9.77237220955804e+008	(-4.42364121873111e+001dB,-8.99999990668697e+001°)
1.00000000000000e+009	(-4.40364121873110e+001dB,-8.99999990881104e+001°)
