Freq.	I(C1)/V(i)
1.77827941003892e+008	(-3.73264506071300e+001dB,1.66485386931653e+001°)
1.81970085860998e+008	(-3.72760374219404e+001dB,1.68321096041996e+001°)
1.86208713666286e+008	(-3.72245635266546e+001dB,1.70111127313302e+001°)
1.90546071796324e+008	(-3.71720472771114e+001dB,1.71852394484686e+001°)
1.94984459975804e+008	(-3.71185096778432e+001dB,1.73541832545325e+001°)
1.99526231496887e+008	(-3.70639743990279e+001dB,1.75176409143896e+001°)
2.04173794466952e+008	(-3.70084677766590e+001dB,1.76753137049092e+001°)
2.08929613085403e+008	(-3.69520188042011e+001dB,1.78269085889139e+001°)
2.13796208950222e+008	(-3.68946591045668e+001dB,1.79721394474945e+001°)
2.18776162394954e+008	(-3.68364228904405e+001dB,1.81107283135459e+001°)
2.23872113856833e+008	(-3.67773469075407e+001dB,1.82424066200889e+001°)
2.29086765276776e+008	(-3.67174703646870e+001dB,1.83669163680884e+001°)
2.34422881531991e+008	(-3.66568348472407e+001dB,1.84840113561784e+001°)
2.39883291901948e+008	(-3.65954842163366e+001dB,1.85934583097542e+001°)
2.45470891568502e+008	(-3.65334644915763e+001dB,1.86950380258186e+001°)
2.51188643150957e+008	(-3.64708237217290e+001dB,1.87885464319755e+001°)
2.57039578276885e+008	(-3.64076118397085e+001dB,1.88737955797786e+001°)
2.63026799189537e+008	(-3.63438805071384e+001dB,1.89506146096223e+001°)
2.69153480392690e+008	(-3.62796829419220e+001dB,1.90188506131844e+001°)
2.75422870333815e+008	(-3.62150737413403e+001dB,1.90783693945554e+001°)
2.81838293126444e+008	(-3.61501086863691e+001dB,1.91290562201695e+001°)
2.88403150312659e+008	(-3.60848445451194e+001dB,1.91708163793760e+001°)
2.95120922666637e+008	(-3.60193388659928e+001dB,1.92035756568078e+001°)
3.01995172040200e+008	(-3.59536497581181e+001dB,1.92272808186321e+001°)
3.09029543251358e+008	(-3.58878356796249e+001dB,1.92418997805014e+001°)
3.16227766016836e+008	(-3.58219552095140e+001dB,1.92474218761039e+001°)
3.23593656929627e+008	(-3.57560668247969e+001dB,1.92438578726610e+001°)
3.31131121482589e+008	(-3.56902286766017e+001dB,1.92312399173486e+001°)
3.38844156139201e+008	(-3.56244983648890e+001dB,1.92096213986793e+001°)
3.46736850452530e+008	(-3.55589327193953e+001dB,1.91790766012049e+001°)
3.54813389233574e+008	(-3.54935875784554e+001dB,1.91397003939861e+001°)
3.63078054770099e+008	(-3.54285175813296e+001dB,1.90916076792639e+001°)
3.71535229097171e+008	(-3.53637759624512e+001dB,1.90349327976306e+001°)
3.80189396320559e+008	(-3.52994143530538e+001dB,1.89698288555712e+001°)
3.89045144994279e+008	(-3.52354825962577e+001dB,1.88964669086503e+001°)
3.98107170553495e+008	(-3.51720285711477e+001dB,1.88150350921771e+001°)
4.07380277804111e+008	(-3.51090980223501e+001dB,1.87257376846196e+001°)
4.16869383470333e+008	(-3.50467344135770e+001dB,1.86287940740531e+001°)
4.26579518801590e+008	(-3.49849787845972e+001dB,1.85244376529464e+001°)
4.36515832240164e+008	(-3.49238696255215e+001dB,1.84129147061775e+001°)
4.46683592150961e+008	(-3.48634427639542e+001dB,1.82944832244431e+001°)
4.57088189614873e+008	(-3.48037312674725e+001dB,1.81694116964540e+001°)
4.67735141287196e+008	(-3.47447653618423e+001dB,1.80379778255265e+001°)
4.78630092322636e+008	(-3.46865723616336e+001dB,1.79004672940137e+001°)
4.89778819368443e+008	(-3.46291766149970e+001dB,1.77571724728738e+001°)
5.01187233627270e+008	(-3.45725994639326e+001dB,1.76083912066377e+001°)
5.12861383991362e+008	(-3.45168592185336e+001dB,1.74544254619882e+001°)
5.24807460249770e+008	(-3.44619711451442e+001dB,1.72955801515553e+001°)
5.37031796370250e+008	(-3.44079474620577e+001dB,1.71321618503804e+001°)
5.49540873857621e+008	(-3.43547973588206e+001dB,1.69644776269031e+001°)
5.62341325190346e+008	(-3.43025270095337e+001dB,1.67928339158513e+001°)
5.75439937337154e+008	(-3.42511396165444e+001dB,1.66175352736122e+001°)
5.88843655355585e+008	(-3.42006354443279e+001dB,1.64388834613801e+001°)
6.02559586074354e+008	(-3.41510118790596e+001dB,1.62571762810069e+001°)
6.16595001861478e+008	(-3.41022634818792e+001dB,1.60727066991747e+001°)
6.30957344480189e+008	(-3.40543820591345e+001dB,1.58857617816948e+001°)
6.45654229034652e+008	(-3.40073567306571e+001dB,1.56966219966515e+001°)
6.60693448007592e+008	(-3.39611740064002e+001dB,1.55055603249741e+001°)
6.76082975391978e+008	(-3.39158178688202e+001dB,1.53128414254320e+001°)
6.91830970918932e+008	(-3.38712698477396e+001dB,1.51187211149904e+001°)
7.07945784384134e+008	(-3.38275091145301e+001dB,1.49234455399484e+001°)
7.24435960074986e+008	(-3.37845125578242e+001dB,1.47272507013365e+001°)
7.41310241300913e+008	(-3.37422548720752e+001dB,1.45303619129934e+001°)
7.58577575029179e+008	(-3.37007086379230e+001dB,1.43329932746441e+001°)
7.76247116628687e+008	(-3.36598444063680e+001dB,1.41353472418207e+001°)
7.94328234724277e+008	(-3.36196307785133e+001dB,1.39376142374591e+001°)
8.12830516164094e+008	(-3.35800344759025e+001dB,1.37399723181950e+001°)
8.31763771102666e+008	(-3.35410204212132e+001dB,1.35425867647516e+001°)
8.51138038202371e+008	(-3.35025517968431e+001dB,1.33456099192633e+001°)
8.70963589956075e+008	(-3.34645901163412e+001dB,1.31491807991149e+001°)
8.91250938133740e+008	(-3.34270952772252e+001dB,1.29534249047022e+001°)
9.12010839355904e+008	(-3.33900256151935e+001dB,1.27584539914892e+001°)
9.33254300796985e+008	(-3.33533379497569e+001dB,1.25643658523831e+001°)
9.54992586021430e+008	(-3.33169876285667e+001dB,1.23712440220082e+001°)
9.77237220955804e+008	(-3.32809285582322e+001dB,1.21791577038262e+001°)
1.00000000000000e+009	(-3.32451132312893e+001dB,1.19881614430113e+001°)
