Freq.	I(C1)/V(o)	I(C2)/V(o)
4.20000000000000e+008	9.99999997800000e-014,-2.63893782611260e-003	1.00000010000000e-004,2.63893867707690e-003
4.30000000000000e+008	9.99999997800000e-014,-2.70176967911528e-003	1.00000010000000e-004,2.70177055034066e-003
4.40000000000000e+008	9.99999997800000e-014,-2.76460153211796e-003	1.00000010000000e-004,2.76460617033815e-003
4.50000000000000e+008	9.99999997800000e-014,-2.82743338512064e-003	1.00000010000000e-004,2.82743046498139e-003
4.60000000000000e+008	9.99999997800000e-014,-2.89026523812332e-003	1.00000010000000e-004,2.89027008717173e-003
4.70000000000000e+008	9.99999997800000e-014,-2.95309709112600e-003	1.00000010000000e-004,2.95309804339567e-003
4.80000000000000e+008	9.99999997800000e-014,-3.01592894412868e-003	1.00000010000000e-004,3.01592991665942e-003
4.90000000000000e+008	9.99999997800000e-014,-3.07876079713136e-003	1.00000010000000e-004,3.07876178992317e-003
5.00000000000000e+008	9.99999997800000e-014,-3.14159265013404e-003	1.00000010000000e-004,3.14159366318692e-003
5.10000000000000e+008	9.99999997800000e-014,-3.20442450313672e-003	1.00000010000000e-004,3.20442553645068e-003
5.20000000000000e+008	9.99999997800000e-014,-3.26725635613940e-003	1.00000010000000e-004,3.26725740971443e-003
5.30000000000000e+008	9.99999997800000e-014,-3.33008820914208e-003	1.00000010000000e-004,3.33008928297818e-003
5.40000000000000e+008	9.99999997800000e-014,-3.39292006214476e-003	1.00000010000000e-004,3.39292115624193e-003
5.50000000000000e+008	9.99999997800000e-014,-3.45575191514744e-003	1.00000010000000e-004,3.45575302950568e-003
5.60000000000000e+008	9.99999997800000e-014,-3.51858376815013e-003	1.00000010000000e-004,3.51858013419921e-003
5.70000000000000e+008	9.99999997800000e-014,-3.58141562115281e-003	1.00000010000000e-004,3.58141192230992e-003
5.80000000000000e+008	9.99999997800000e-014,-3.64424747415549e-003	1.00000010000000e-004,3.64424864929693e-003
5.90000000000000e+008	9.99999997800000e-014,-3.70707932715817e-003	1.00000010000000e-004,3.70708554659001e-003
6.00000000000000e+008	9.99999997800000e-014,-3.76991118016085e-003	1.00000010000000e-004,3.76991239582443e-003
6.10000000000000e+008	9.99999997800000e-014,-3.83274303316353e-003	1.00000010000000e-004,3.83274426908817e-003
6.20000000000000e+008	9.99999997800000e-014,-3.89557488616621e-003	1.00000010000000e-004,3.89557614235192e-003
6.30000000000000e+008	9.99999997800000e-014,-3.95840673916889e-003	1.00000010000000e-004,3.95840265097418e-003
6.40000000000000e+008	9.99999997800000e-014,-4.02123859217157e-003	1.00000010000000e-004,4.02124533867395e-003
6.50000000000000e+008	9.99999997800000e-014,-4.08407044517425e-003	1.00000010000000e-004,4.08407729709074e-003
6.60000000000000e+008	9.99999997799999e-014,-4.14690229817693e-003	1.00000010000000e-004,4.14690363540692e-003
6.70000000000000e+008	9.99999997800000e-014,-4.20973415117962e-003	1.00000010000000e-004,4.20973550867067e-003
6.80000000000000e+008	9.99999997800000e-014,-4.27256600418230e-003	1.00000010000000e-004,4.27256738193442e-003
6.90000000000000e+008	9.99999997800000e-014,-4.33539785718498e-003	1.00000010000000e-004,4.33539925519816e-003
7.00000000000000e+008	9.99999997800000e-014,-4.39822971018766e-003	1.00000010000000e-004,4.39822516774915e-003
7.10000000000000e+008	9.99999997800000e-014,-4.46106156319034e-003	1.00000010000000e-004,4.46106904759147e-003
7.20000000000000e+008	9.99999997800000e-014,-4.52389341619302e-003	1.00000010000000e-004,4.52389487498941e-003
7.30000000000000e+008	9.99999997800000e-014,-4.58672526919570e-003	1.00000010000000e-004,4.58673296442504e-003
7.40000000000000e+008	9.99999997800000e-014,-4.64955712219838e-003	1.00000010000000e-004,4.64955232019198e-003
7.50000000000000e+008	9.99999997799999e-014,-4.71238897520106e-003	1.00000010000000e-004,4.71239049478065e-003
7.60000000000000e+008	9.99999997800000e-014,-4.77522082820374e-003	1.00000010000000e-004,4.77521589641340e-003
7.70000000000000e+008	9.99999997800000e-014,-4.83805268120642e-003	1.00000010000000e-004,4.83804768452410e-003
7.80000000000000e+008	9.99999997800000e-014,-4.90088453420910e-003	1.00000010000000e-004,4.90088611457189e-003
7.90000000000000e+008	9.99999997800000e-014,-4.96371638721179e-003	1.00000010000000e-004,4.96371798783564e-003
8.00000000000000e+008	9.99999997800000e-014,-5.02654824021447e-003	1.00000010000000e-004,5.02655667334255e-003
8.10000000000000e+008	9.99999997800000e-014,-5.08938009321715e-003	1.00000010000000e-004,5.08938173436314e-003
8.20000000000000e+008	9.99999997800000e-014,-5.15221194621983e-003	1.00000010000000e-004,5.15220662507764e-003
