Freq.	I(Ci)/V(o)	I(Co)/V(o)
2.60000000000000e+008	-1.32793180438565e-006,-1.47749604173959e-006	6.32970235966351e-006,1.41425727956293e-003
2.70000000000000e+008	-1.38388228270755e-006,-1.48241140164142e-006	6.66768221915384e-006,1.46852882861027e-003
2.80000000000000e+008	-1.43809908204561e-006,-1.48514946290199e-006	7.00590214245530e-006,1.52279164633936e-003
2.90000000000000e+008	-1.49055894028094e-006,-1.48591211972073e-006	7.34428641606331e-006,1.57704655595160e-003
3.00000000000000e+008	-1.54125364663139e-006,-1.48488894769224e-006	7.68280831116815e-006,1.63129431925293e-003
3.10000000000000e+008	-1.59018775977596e-006,-1.48225704853859e-006	8.02148265854651e-006,1.68553563746284e-003
3.20000000000000e+008	-1.63737654566293e-006,-1.47818112374125e-006	8.36035913597060e-006,1.73977115737087e-003
3.30000000000000e+008	-1.68284413287758e-006,-1.47281372664222e-006	8.69951626429308e-006,1.79400147069799e-003
3.40000000000000e+008	-1.72662187786536e-006,-1.46629564968017e-006	9.03905608845803e-006,1.84822712141129e-003
3.50000000000000e+008	-1.76874692848412e-006,-1.45875641014867e-006	9.37909950164292e-006,1.90244860585165e-003
3.60000000000000e+008	-1.80926097192861e-006,-1.45031480403681e-006	9.71978216930654e-006,1.95666637567158e-003
3.70000000000000e+008	-1.84820915173538e-006,-1.44107950304489e-006	1.00612510077181e-005,2.01088084590771e-003
3.80000000000000e+008	-1.88563913807500e-006,-1.43114967472738e-006	1.04036611536389e-005,2.06509239157467e-003
3.90000000000000e+008	-1.92160033564893e-006,-1.42061560990930e-006	1.07471733905879e-005,2.11930135373652e-003
4.00000000000000e+008	-1.95614321405130e-006,-1.40955934508737e-006	1.10919519663548e-005,2.17350804167815e-003
4.10000000000000e+008	-1.98931874628551e-006,-1.39805527051730e-006	1.14381627681610e-005,2.22771273714590e-003
4.20000000000000e+008	-2.02117794214210e-006,-1.38617071715968e-006	1.17859718011278e-005,2.28191569189518e-003
4.30000000000000e+008	-2.05177146424821e-006,-1.37396651767721e-006	1.21355439416394e-005,2.33611713737234e-003
4.40000000000000e+008	-2.08114931573914e-006,-1.36149753830365e-006	1.24870419194710e-005,2.39031727927341e-003
4.50000000000000e+008	-2.10936058963129e-006,-1.34881317969850e-006	1.28406255015154e-005,2.44451630380287e-003
4.60000000000000e+008	-2.13645327105678e-006,-1.33595784591660e-006	1.31964508482536e-005,2.49871437873805e-003
4.70000000000000e+008	-2.16247408454507e-006,-1.32297138140059e-006	1.35546700188801e-005,2.55291165594963e-003
4.80000000000000e+008	-2.18746837947917e-006,-1.30988947649458e-006	1.39154305958768e-005,2.60710827187859e-003
4.90000000000000e+008	-2.21148004772093e-006,-1.29674404240870e-006	1.42788754181771e-005,2.66130434602889e-003
5.00000000000000e+008	-2.23455146818260e-006,-1.28356355687105e-006	1.46451424006733e-005,2.71549998867391e-003
5.10000000000000e+008	-2.25672347382165e-006,-1.27037338191051e-006	1.50143644255835e-005,2.76969529780793e-003
5.20000000000000e+008	-2.27803533716277e-006,-1.25719605534009e-006	1.53866692983661e-005,2.82389036011691e-003
5.30000000000000e+008	-2.29852477099994e-006,-1.24405155757841e-006	1.57621797454656e-005,2.87808525160005e-003
5.40000000000000e+008	-2.31822794141983e-006,-1.23095755546384e-006	1.61410134616176e-005,2.93228004468014e-003
5.50000000000000e+008	-2.33717949071061e-006,-1.21792962470118e-006	1.65232831811866e-005,2.98647479734650e-003
5.60000000000000e+008	-2.35541256808914e-006,-1.20498145253898e-006	1.69090967783858e-005,3.04066956581725e-003
5.70000000000000e+008	-2.37295886650457e-006,-1.19212502221253e-006	1.72985573891628e-005,3.09486439868082e-003
5.80000000000000e+008	-2.38984866404617e-006,-1.17937078061951e-006	1.76917635429522e-005,3.14905933723648e-003
5.90000000000000e+008	-2.40611086873135e-006,-1.16672779060845e-006	1.80888093104566e-005,3.20325441884946e-003
6.00000000000000e+008	-2.42177306564597e-006,-1.15420386918129e-006	1.84897844577272e-005,3.25744967703606e-003
6.10000000000000e+008	-2.43686156559120e-006,-1.14180571281982e-006	1.88947746014679e-005,3.31164513941995e-003
6.20000000000000e+008	-2.45140145453742e-006,-1.12953901106297e-006	1.93038613737917e-005,3.36584083124055e-003
6.30000000000000e+008	-2.46541664331411e-006,-1.11740854937652e-006	1.97171225808702e-005,3.42003677326671e-003
6.40000000000000e+008	-2.47892991707393e-006,-1.10541830227552e-006	2.01346323657492e-005,3.47423298381490e-003
6.50000000000000e+008	-2.49196298415910e-006,-1.09357151758324e-006	2.05564613653299e-005,3.52842947870655e-003
6.60000000000000e+008	-2.50453652407569e-006,-1.08187079263759e-006	2.09826768704918e-005,3.58262627117449e-003
6.70000000000000e+008	-2.51667023434811e-006,-1.07031814318576e-006	2.14133429723213e-005,3.63682337114757e-003
6.80000000000000e+008	-2.52838287607760e-006,-1.05891506564595e-006	2.18485207178864e-005,3.69102078790748e-003
6.90000000000000e+008	-2.53969231807648e-006,-1.04766259335382e-006	2.22882682480492e-005,3.74521852824945e-003
7.00000000000000e+008	-2.55061557948544e-006,-1.03656134735774e-006	2.27326409381263e-005,3.79941659980321e-003
7.10000000000000e+008	-2.56116887081405e-006,-1.02561158227474e-006	2.31816915311887e-005,3.85361500130848e-003
7.20000000000000e+008	-2.57136763336914e-006,-1.01481322767363e-006	2.36354702676934e-005,3.90781374145089e-003
7.30000000000000e+008	-2.58122657705672e-006,-1.00416592540856e-006	2.40940250075086e-005,3.96201281825488e-003
7.40000000000000e+008	-2.59075971656068e-006,-9.93669063286767e-007	2.45574013467874e-005,4.01621223197592e-003
7.50000000000000e+008	-2.59998040591400e-006,-9.83321805419641e-007	2.50256427321534e-005,4.07041198437667e-003
7.60000000000000e+008	-2.60890137149004e-006,-9.73123119572331e-007	2.54987905665368e-005,4.12461207207655e-003
7.70000000000000e+008	-2.61753474344892e-006,-9.63071801798769e-007	2.59768843123379e-005,4.17881249507556e-003
7.80000000000000e+008	-2.62589208568166e-006,-9.53166498620351e-007	2.64599615893759e-005,4.23301324933743e-003
7.90000000000000e+008	-2.63398442429761e-006,-9.43405726984566e-007	2.69480582669877e-005,4.28721433221391e-003
8.00000000000000e+008	-2.64182227470635e-006,-9.33787892214593e-007	2.74412085514370e-005,4.34141574010300e-003
8.10000000000000e+008	-2.64941566734554e-006,-9.24311304143601e-007	2.79394450711027e-005,4.39561747004139e-003
8.20000000000000e+008	-2.65677417210937e-006,-9.14974191606532e-007	2.84427989549856e-005,4.44981951511462e-003
8.30000000000000e+008	-2.66390692153117e-006,-9.05774715448113e-007	2.89512999089016e-005,4.50402187223164e-003
8.40000000000000e+008	-2.67082263277535e-006,-8.96710980188643e-007	2.94649762852132e-005,4.55822453472495e-003
8.50000000000000e+008	-2.67752962849166e-006,-8.87781044477514e-007	2.99838551545528e-005,4.61242750176005e-003
8.60000000000000e+008	-2.68403585658592e-006,-8.78982930450127e-007	3.05079623653053e-005,4.66663076204563e-003
8.70000000000000e+008	-2.69034890895845e-006,-8.70314632094396e-007	3.10373226086161e-005,4.72083431415111e-003
8.80000000000000e+008	-2.69647603926068e-006,-8.61774122722327e-007	3.15719594737121e-005,4.77503815003803e-003
8.90000000000000e+008	-2.70242417971943e-006,-8.53359361632679e-007	3.21118955033982e-005,4.82924226242579e-003
