Freq.	I(Ci)/V(i)	I(Co)/V(i)
2.00000000000000e+008	6.45882884572309e-006,3.40425995727367e-003	4.75482654469736e-003,-1.13895383232200e-003
2.10000000000000e+008	7.12130515927451e-006,3.57454921017044e-003	4.75469293334154e-003,-1.19590312469359e-003
2.20000000000000e+008	7.81609674529099e-006,3.74483480872124e-003	4.75455280444894e-003,-1.25285231488726e-003
2.30000000000000e+008	8.54320351158951e-006,3.91511719343361e-003	4.75440615801937e-003,-1.30980141196845e-003
2.40000000000000e+008	9.30262536170000e-006,4.08539672770010e-003	4.75425299405418e-003,-1.36675042330175e-003
2.50000000000000e+008	1.00943621948654e-005,4.25567371678745e-003	4.75409331255594e-003,-1.42369935489100e-003
2.60000000000000e+008	1.09184139060418e-005,4.42594841636904e-003	4.75392711352824e-003,-1.48064821164104e-003
2.70000000000000e+008	1.17747803858978e-005,4.59622104353516e-003	4.75375439697548e-003,-1.53759699756120e-003
2.80000000000000e+008	1.26634615208156e-005,4.76649178271126e-003	4.75357516290284e-003,-1.59454571592521e-003
2.90000000000000e+008	1.35844571928900e-005,4.93676079165267e-003	4.75338941131611e-003,-1.65149436939802e-003
3.00000000000000e+008	1.45377672799289e-005,5.10702820442505e-003	4.75319714222165e-003,-1.70844296013731e-003
3.10000000000000e+008	1.55233916554535e-005,5.27729413916182e-003	4.75299835562633e-003,-1.76539148987525e-003
3.20000000000000e+008	1.65413301886979e-005,5.44755869570544e-003	4.75279305153749e-003,-1.82233995998502e-003
3.30000000000000e+008	1.75915827446094e-005,5.61782196137228e-003	4.75258122996289e-003,-1.87928837153520e-003
3.40000000000000e+008	1.86741491838485e-005,5.78808401271531e-003	4.75236289091072e-003,-1.93623672533454e-003
3.50000000000000e+008	1.97890293627890e-005,5.95834491471515e-003	4.75213803438953e-003,-1.99318502196912e-003
3.60000000000000e+008	2.09362231335180e-005,6.12860472472265e-003	4.75190666040825e-003,-2.05013326183325e-003
3.70000000000000e+008	2.21157303438359e-005,6.29886349456220e-003	4.75166876897614e-003,-2.10708144515538e-003
3.80000000000000e+008	2.33275508372566e-005,6.46912126749177e-003	4.75142436010283e-003,-2.16402957201996e-003
3.90000000000000e+008	2.45716844530072e-005,6.63937808144721e-003	4.75117343379826e-003,-2.22097764238584e-003
4.00000000000000e+008	2.58481310260287e-005,6.80963397044732e-003	4.75091599007269e-003,-2.27792565610204e-003
4.10000000000000e+008	2.71568903869753e-005,6.97988896397222e-003	4.75065202893671e-003,-2.33487361292110e-003
4.20000000000000e+008	2.84979623622152e-005,7.15014308705701e-003	4.75038155040120e-003,-2.39182151251057e-003
4.30000000000000e+008	2.98713467738301e-005,7.32039636262499e-003	4.75010455447736e-003,-2.44876935446292e-003
4.40000000000000e+008	3.12770434396155e-005,7.49064880923959e-003	4.74982104117667e-003,-2.50571713830403e-003
4.50000000000000e+008	3.27150521730806e-005,7.66090044531950e-003	4.74953101051094e-003,-2.56266486350063e-003
4.60000000000000e+008	3.41853727834488e-005,7.83115128359514e-003	4.74923446249225e-003,-2.61961252946672e-003
4.70000000000000e+008	3.56880050756572e-005,8.00140133620937e-003	4.74893139713297e-003,-2.67656013556915e-003
4.80000000000000e+008	3.72229488503572e-005,8.17165061455570e-003	4.74862181444578e-003,-2.73350768113256e-003
4.90000000000000e+008	3.87902039039142e-005,8.34189912838420e-003	4.74830571444363e-003,-2.79045516544370e-003
5.00000000000000e+008	4.03897700284076e-005,8.51214688363002e-003	4.74798309713975e-003,-2.84740258775519e-003
5.10000000000000e+008	4.20216470116314e-005,8.68239388573445e-003	4.74765396254768e-003,-2.90434994728887e-003
5.20000000000000e+008	4.36858346370938e-005,8.85264014126282e-003	4.74731831068124e-003,-2.96129724323878e-003
5.30000000000000e+008	4.53823326840175e-005,9.02288565255680e-003	4.74697614155450e-003,-3.01824447477377e-003
5.40000000000000e+008	4.71111409273395e-005,9.19313042332055e-003	4.74662745518186e-003,-3.07519164103984e-003
5.50000000000000e+008	4.88722591377118e-005,9.36337445368179e-003	4.74627225157796e-003,-3.13213874116219e-003
5.60000000000000e+008	5.06656870815007e-005,9.53361774523285e-003	4.74591053075775e-003,-3.18908577424713e-003
5.70000000000000e+008	5.24914245207875e-005,9.70386029843353e-003	4.74554229273644e-003,-3.24603273938369e-003
5.80000000000000e+008	5.43494712133682e-005,9.87410211420348e-003	4.74516753752954e-003,-3.30297963564514e-003
5.90000000000000e+008	5.62398269127539e-005,1.00443431876804e-002	4.74478626515282e-003,-3.35992646209028e-003
6.00000000000000e+008	5.81624913681707e-005,1.02145835192475e-002	4.74439847562233e-003,-3.41687321776474e-003
6.10000000000000e+008	6.01174643245598e-005,1.03848231075166e-002	4.74400416895441e-003,-3.47381990170193e-003
6.20000000000000e+008	6.21047455225776e-005,1.05550619484601e-002	4.74360334516568e-003,-3.53076651292416e-003
6.30000000000000e+008	6.41243346985959e-005,1.07253000382460e-002	4.74319600427303e-003,-3.58771305044342e-003
6.40000000000000e+008	6.61762315847019e-005,1.08955373742004e-002	4.74278214629362e-003,-3.64465951326224e-003
6.50000000000000e+008	6.82604359086984e-005,1.10657739514441e-002	4.74236177124489e-003,-3.70160590037438e-003
6.60000000000000e+008	7.03769473941036e-005,1.12360097670902e-002	4.74193487914458e-003,-3.75855221076555e-003
6.70000000000000e+008	7.25257657601518e-005,1.14062448140115e-002	4.74150147001068e-003,-3.81549844341396e-003
6.80000000000000e+008	7.47068907217926e-005,1.15764790908369e-002	4.74106154386147e-003,-3.87244459729090e-003
6.90000000000000e+008	7.69203219896921e-005,1.17467125864284e-002	4.74061510071549e-003,-3.92939067136121e-003
7.00000000000000e+008	7.91660592702322e-005,1.19169453011264e-002	4.74016214059158e-003,-3.98633666458379e-003
7.10000000000000e+008	8.14441022655109e-005,1.20871772251469e-002	4.73970266350886e-003,-4.04328257591199e-003
