Freq.	I(Ci)/V(o)	I(Co)/V(o)
5.10000000000000e+008	-8.19770280837151e-006,-2.86312160487910e-003	1.78830013914326e-005,2.86273077252505e-003
5.20000000000000e+008	-8.52232959532203e-006,-2.91926029644838e-003	1.82076075105793e-005,2.91887392154373e-003
5.30000000000000e+008	-8.85325959804675e-006,-2.97539893281086e-003	1.85385164442063e-005,2.97501678677229e-003
5.40000000000000e+008	-9.19049280402769e-006,-3.03153751290492e-003	1.88757281795910e-005,3.03115938438133e-003
5.50000000000000e+008	-9.53402920050847e-006,-3.08767603566894e-003	1.92192427044219e-005,3.08730172068070e-003
5.60000000000000e+008	-9.88386877449428e-006,-3.14381450004131e-003	1.95690600054318e-005,3.14344380705539e-003
5.70000000000000e+008	-1.02400115127519e-005,-3.19995290496042e-003	1.99251800697853e-005,3.19958565382596e-003
5.80000000000000e+008	-1.06024574018097e-005,-3.25609124936467e-003	2.02876028832919e-005,3.25572726788981e-003
5.90000000000000e+008	-1.09712064279576e-005,-3.31222953219245e-003	2.06563284325986e-005,3.31186865668934e-003
6.00000000000000e+008	-1.13462585772472e-005,-3.36836775238217e-003	2.10313567040784e-005,3.36800982804160e-003
6.10000000000000e+008	-1.17276138354915e-005,-3.42450590887224e-003	2.14126876831537e-005,3.42415078840974e-003
6.20000000000000e+008	-1.21152721882655e-005,-3.48064400060107e-003	2.18003213554426e-005,3.48029154366079e-003
6.30000000000000e+008	-1.25092336209053e-005,-3.53678202650707e-003	2.21942577061890e-005,3.53643209992580e-003
6.40000000000000e+008	-1.29094981185088e-005,-3.59291998552868e-003	2.25944967211771e-005,3.59257246129211e-003
6.50000000000000e+008	-1.33160656659357e-005,-3.64905787660431e-003	2.30010383846218e-005,3.64871263393333e-003
6.60000000000000e+008	-1.37289362478069e-005,-3.70519569867240e-003	2.34138826815734e-005,3.70485262165580e-003
6.70000000000000e+008	-1.41481098485053e-005,-3.76133345067138e-003	2.38330295953507e-005,3.76099242731217e-003
6.80000000000000e+008	-1.45735864521752e-005,-3.81747113153969e-003	2.42584791113014e-005,3.81713205726336e-003
6.90000000000000e+008	-1.50053660427224e-005,-3.87360874021579e-003	2.46902312133159e-005,3.87327151273559e-003
7.00000000000000e+008	-1.54434486038144e-005,-3.92974627563810e-003	2.51282858849394e-005,3.92941080008128e-003
7.10000000000000e+008	-1.58878341188805e-005,-3.98588373674511e-003	2.55726431084511e-005,3.98554991777620e-003
7.20000000000000e+008	-1.63385225711113e-005,-4.04202112247526e-003	2.60233028680846e-005,4.04168887294766e-003
7.30000000000000e+008	-1.67955139434592e-005,-4.09815843176702e-003	2.64802651467695e-005,4.09782766576596e-003
