Freq.	I(Ci)/V(i)	I(Co)/V(i)
1.80000000000000e+008	5.37741398029486e-004,3.54014262557060e-003	3.02533028036153e-003,-2.79984959243724e-003
1.90000000000000e+008	5.80968820246075e-004,3.70906187536618e-003	2.88650284761068e-003,-2.86476020727780e-003
2.00000000000000e+008	6.23792360227786e-004,3.87534349353988e-003	2.74909032687434e-003,-2.92110216461807e-003
2.10000000000000e+008	6.66054811415025e-004,4.03914639242350e-003	2.61360435482662e-003,-2.96939053692042e-003
2.20000000000000e+008	7.07623203680679e-004,4.20063264963835e-003	2.48047768939316e-003,-3.01015108795773e-003
2.30000000000000e+008	7.48387125110940e-004,4.35996469636711e-003	2.35006967160483e-003,-3.04391103780287e-003
2.40000000000000e+008	7.88256865392956e-004,4.51730299161593e-003	2.22267226803821e-003,-3.07119143256668e-003
2.50000000000000e+008	8.27161470268252e-004,4.67280415377805e-003	2.09851640269750e-003,-3.09250100847066e-003
2.60000000000000e+008	8.65046779104139e-004,4.82661950001573e-003	1.97777834384237e-003,-3.10833141040528e-003
2.70000000000000e+008	9.01873501407208e-004,4.97889395782359e-003	1.86058596407355e-003,-3.11915360963482e-003
2.80000000000000e+008	9.37615373625327e-004,5.12976528850952e-003	1.74702473911775e-003,-3.12541536072067e-003
2.90000000000000e+008	9.72257425119672e-004,5.27936358211131e-003	1.63714339131140e-003,-3.12753954114281e-003
3.00000000000000e+008	1.00579437181323e-003,5.42781097916220e-003	1.53095911755627e-003,-3.12592322608320e-003
3.10000000000000e+008	1.03822914764338e-003,5.57522157359478e-003	1.42846236878337e-003,-3.12093736330907e-003
3.20000000000000e+008	1.06957157739711e-003,5.72170146204063e-003	1.32962116927925e-003,-3.11292692747603e-003
3.30000000000000e+008	1.09983718956126e-003,5.86734891194432e-003	1.23438498032819e-003,-3.10221144823062e-003
3.40000000000000e+008	1.12904616423001e-003,6.01225460798423e-003	1.14268812430129e-003,-3.08908582134306e-003
3.50000000000000e+008	1.15722240865143e-003,6.15650197042213e-003	1.05445279333851e-003,-3.07382132618973e-003
3.60000000000000e+008	1.18439275143039e-003,6.30016750783742e-003	9.69591671857619e-004,-3.05666678582933e-003
3.70000000000000e+008	1.21058624554679e-003,6.44332121117747e-003	8.88010204917852e-004,-3.03784981750443e-003
3.80000000000000e+008	1.23583357002504e-003,6.58602694436744e-003	8.09608545517560e-004,-3.01757813157760e-003
3.90000000000000e+008	1.26016652016178e-003,6.72834285369612e-003	7.34283213674648e-004,-2.99604084569768e-003
4.00000000000000e+008	1.28361757656810e-003,6.87032176982717e-003	6.61928499001541e-004,-2.97340978845959e-003
4.10000000000000e+008	1.30621954381722e-003,7.01201159713079e-003	5.92437636744828e-004,-2.94984077307771e-003
4.20000000000000e+008	1.32800525014180e-003,7.15345569218359e-003	5.25703785136196e-004,-2.92547482677682e-003
4.30000000000000e+008	1.34900730033612e-003,7.29469322927392e-003	4.61620829585185e-004,-2.90043936583040e-003
4.40000000000000e+008	1.36925787475212e-003,7.43575953651187e-003	4.00084036856918e-004,-2.87484930958620e-003
4.50000000000000e+008	1.38878856800431e-003,7.57668642371352e-003	3.40990580015639e-004,-2.84880812953143e-003
4.60000000000000e+008	1.40763026169504e-003,7.71750248150298e-003	2.84239952646751e-004,-2.82240883157029e-003
4.70000000000000e+008	1.42581302613036e-003,7.85823336644922e-003	2.29734288727885e-004,-2.79573487132523e-003
4.80000000000000e+008	1.44336604660387e-003,7.99890205769347e-003	1.77378602541744e-004,-2.76886100350263e-003
4.90000000000000e+008	1.46031757038370e-003,8.13952910080342e-003	1.27080961209896e-004,-2.74185406727182e-003
5.00000000000000e+008	1.47669487104094e-003,8.28013283066262e-003	7.87526007876174e-005,-2.71477371024780e-003
5.10000000000000e+008	1.49252422720927e-003,8.42072957451057e-003	3.23079953919866e-005,-2.68767305409979e-003
5.20000000000000e+008	1.50783091326767e-003,8.56133384377650e-003	-1.23351124746766e-005,-2.66059930507556e-003
5.30000000000000e+008	1.52263919979287e-003,8.70195849908128e-003	-5.52557133972929e-005,-2.63359431286860e-003
5.40000000000000e+008	1.53697236194120e-003,8.84261491396204e-003	-9.65295583271680e-005,-2.60669508129662e-003
5.50000000000000e+008	1.55085269419227e-003,8.98331311337424e-003	-1.36229206566073e-004,-2.57993423422501e-003
5.60000000000000e+008	1.56430153012464e-003,9.12406190771468e-003	-1.74424090127207e-004,-2.55334044008066e-003
5.70000000000000e+008	1.57733926610138e-003,9.26486900719959e-003	-2.11180590821133e-004,-2.52693879817671e-003
5.80000000000000e+008	1.58998538791963e-003,9.40574113784359e-003	-2.46562126987977e-004,-2.50075118991294e-003
5.90000000000000e+008	1.60225849963460e-003,9.54668412822246e-003	-2.80629247306972e-004,-2.47479659775153e-003
6.00000000000000e+008	1.61417635389811e-003,9.68770300854917e-003	-3.13439729534474e-004,-2.44909139468585e-003
6.10000000000000e+008	1.62575588326627e-003,9.82880208640923e-003	-3.45048682396681e-004,-2.42364960674183e-003
6.20000000000000e+008	1.63701323202666e-003,9.96998501977124e-003	-3.75508649172770e-004,-2.39848315086946e-003
6.30000000000000e+008	1.64796378817747e-003,1.01112548861399e-002	-4.04869711772638e-004,-2.37360205040648e-003
6.40000000000000e+008	1.65862221526109e-003,1.02526142377949e-002	-4.33179594340999e-004,-2.34901463012691e-003
6.50000000000000e+008	1.66900248381306e-003,1.03940651638680e-002	-4.60483765609756e-004,-2.32472769272467e-003
6.60000000000000e+008	1.67911790223712e-003,1.05356093281507e-002	-4.86825539382263e-004,-2.30074667842960e-003
6.70000000000000e+008	1.68898114695924e-003,1.06772480268795e-002	-5.12246172671358e-004,-2.27707580931037e-003
6.80000000000000e+008	1.69860429174786e-003,1.08189822149290e-002	-5.36784961123482e-004,-2.25371821968331e-003
6.90000000000000e+008	1.70799883611726e-003,1.09608125517268e-002	-5.60479331459086e-004,-2.23067607392289e-003
7.00000000000000e+008	1.71717573275491e-003,1.11027394356548e-002	-5.83364930736280e-004,-2.20795067285361e-003
7.10000000000000e+008	1.72614541393393e-003,1.12447630202376e-002	-6.05475712311438e-004,-2.18554254979700e-003
7.20000000000000e+008	1.73491781688793e-003,1.13868832562332e-002	-6.26844018423166e-004,-2.16345155725001e-003
7.30000000000000e+008	1.74350240813927e-003,1.15290999062199e-002	-6.47500659369809e-004,-2.14167694508107e-003
7.40000000000000e+008	1.75190820678255e-003,1.16714125697422e-002	-6.67474989286720e-004,-2.12021743104882e-003
7.50000000000000e+008	1.76014380673359e-003,1.18138207033217e-002	-6.86794978556881e-004,-2.09907126437295e-003
7.60000000000000e+008	1.76821739796167e-003,1.19563236339792e-002	-7.05487282912151e-004,-2.07823628301910e-003
7.70000000000000e+008	1.77613678672750e-003,1.20989205818263e-002	-7.23577309298836e-004,-2.05770996529716e-003
